id,title,year,google_rating,vote_average,vote_count,revenue,runtime
109491,Beautiful Creatures,2013,59,6.0,2708,60052138,124
157386,The Spectacular Now,2013,63,6.649,2705,6854611,95
1970,The Grudge,2004,74,5.88,2705,183474602,92
503314,Dragon Ball Super: Broly,2018,92,7.884,2705,125002821,99
8741,The Thin Red Line,1998,76,7.446,2698,98126565,171
13809,RocknRolla,2008,74,6.948,2697,25740863,114
9327,The Nutty Professor,1996,72,5.625,2697,128769345,95
6978,Big Trouble in Little China,1986,87,7.2,2696,11000000,99
2758,Addams Family Values,1993,77,6.948,2696,48919043,94
342470,All the Bright Places,2020,77,7.673,2695,0,108
490,The Seventh Seal,1957,89,8.2,2691,0,96
8337,They Live,1988,93,7.288,2691,13008928,94
947,Lawrence of Arabia,1962,79,7.976,2689,69995385,228
657,From Russia with Love,1963,89,7.072,2689,78900000,115
9992,Arthur and the Invisibles,2006,80,6.383,2689,107944236,94
23398,Alvin and the Chipmunks: The Squeakquel,2009,82,5.628,2688,443140005,88
609,Poltergeist,1982,79,7.143,2686,122200000,114
9889,Shallow Hal,2001,78,6.15,2685,141069860,114
433808,The Ritual,2017,75,6.227,2685,1786396,94
587792,Palm Springs,2020,83,7.338,2684,164000,90
406563,Insidious: The Last Key,2018,76,6.272,2679,167885588,103
13310,Let the Right One In,2008,87,7.519,2679,10785801,114
581734,Nomadland,2021,77,7.237,2678,14784114,108
491418,Instant Family,2018,85,7.537,2676,120989656,118
619,The Bodyguard,1992,79,6.666,2676,411006740,129
9772,Air Force One,1997,83,6.46,2676,315156409,124
968,Dog Day Afternoon,1975,85,7.836,2675,46665856,125
249397,Nymphomaniac: Vol. II,2013,-1,6.763,2675,4934725,124
957,Spaceballs,1987,89,6.8,2673,38119483,96
137094,Jack Ryan: Shadow Recruit,2014,71,6.115,2666,135511030,105
6537,The Orphanage,2007,85,7.232,2665,78638987,105
41439,Saw 3D,2010,81,5.981,2664,136151680,90
60935,The Thing,2011,81,6.203,2663,31505287,103
149870,The Wind Rises,2013,90,7.781,2662,117932401,126
27573,The Bounty Hunter,2010,73,5.84,2659,136333522,110
1656,The Legend of Zorro,2005,81,6.108,2659,142400065,129
551332,The Two Popes,2019,90,7.51,2658,232638,125
9598,Babe,1995,72,6.192,2657,254134910,91
1542,Office Space,1999,88,7.376,2656,12827813,90
43949,Flipped,2010,83,7.98,2654,1755212,89
152742,The Best Offer,2013,89,7.834,2653,19255873,131
364689,Ferdinand,2017,75,7.232,2652,295038508,108
44040,Devil,2010,64,6.059,2652,33583175,80
406759,Moonfall,2022,62,6.355,2650,67295363,131
43539,The Next Three Days,2010,75,7.071,2644,67448651,133
36643,The World Is Not Enough,1999,86,6.265,2644,361832400,128
5966,Along Came Polly,2004,70,5.983,2642,178311729,90
10585,Child's Play,1988,78,6.676,2640,44196684,87
38117,Beastly,2011,67,6.325,2639,43202283,86
10202,Bedtime Stories,2008,73,6.141,2639,212874864,99
