id,title,year,google_rating,vote_average,vote_count,revenue,runtime
35056,Date Night,2010,73,6.072,2636,152263880,97
11906,Suspiria,1977,87,7.5,2634,2884265,99
605116,Project Power,2020,61,6.481,2632,0,113
429351,12 Strong,2018,82,6.233,2632,67450815,130
169917,A Walk Among the Tombstones,2014,70,6.32,2632,58834384,114
241554,Run All Night,2015,63,6.404,2632,71561644,114
314095,The Lost City of Z,2017,57,6.4,2631,8574339,141
13027,Eagle Eye,2008,65,6.448,2629,178800000,118
69,Walk the Line,2005,79,7.487,2629,186797986,136
943,Lethal Weapon 3,1992,89,6.699,2629,321731527,118
1278,The Dreamers,2003,-1,7.206,2628,15121165,115
7214,Coach Carter,2005,81,7.566,2627,76669806,136
205,Hotel Rwanda,2004,92,7.718,2626,38000000,121
438799,Overlord,2018,80,6.703,2623,41657844,110
421,The Life Aquatic with Steve Zissou,2004,86,7.106,2621,34808403,119
1268,Mr. Bean's Holiday,2007,82,6.342,2619,232225908,90
11836,The SpongeBob SquarePants Movie,2004,83,6.995,2618,140161792,87
25,Jarhead,2005,73,6.621,2618,97076152,123
445651,The Darkest Minds,2018,49,7.053,2617,41142379,105
429200,Good Time,2017,83,7.204,2617,3283369,102
449443,Den of Thieves,2018,75,6.77,2612,80509622,140
2310,Beowulf,2007,66,5.889,2609,195735876,115
261392,American Ultra,2015,60,6.087,2607,27139524,96
4258,Scary Movie 5,2013,69,4.805,2607,78378744,86
266647,Pan,2015,63,5.965,2607,128388320,111
309809,The Little Prince,2015,85,7.605,2605,97571250,108
2756,The Abyss,1989,91,7.3,2604,90000098,140
8068,Desperado,1995,77,6.914,2600,25405445,104
841,Dune,1984,76,6.197,2600,30925690,137
4488,Friday the 13th,1980,84,6.391,2599,59754601,95
11007,Cheaper by the Dozen,2003,70,6.278,2597,190212113,98
978,Seven Years in Tibet,1997,90,7.174,2594,131457682,136
15092,Crank: High Voltage,2009,78,6.048,2591,34560577,96
193893,Let's Be Cops,2014,71,6.5,2591,136621271,104
26388,Buried,2010,73,6.617,2591,19152480,94
979,Irreversible,2002,77,7.24,2590,6500000,98
440,Aliens vs Predator: Requiem,2007,70,5.2,2588,130290885,94
1267,Meet the Robinsons,2007,79,6.901,2588,169332978,95
501929,The Mitchells vs. the Machines,2021,68,7.937,2583,0,110
531219,Roald Dahl's The Witches,2020,56,6.397,2583,29303571,106
7220,The Punisher,2004,84,6.331,2581,54700105,124
431693,Spies in Disguise,2019,71,7.635,2581,171616764,102
71859,We Need to Talk About Kevin,2011,88,7.558,2581,10765283,113
36685,The Rocky Horror Picture Show,1975,85,7.477,2575,112892319,100
9801,Bridget Jones: The Edge of Reason,2004,86,6.241,2574,262500000,108
768,From Hell,2001,83,6.682,2572,74558115,122
516486,Greyhound,2020,88,7.419,2571,0,91
403119,47 Meters Down,2017,69,5.789,2570,62198461,89
975,Paths of Glory,1957,79,8.281,2569,0,88
353070,Going in Style,2017,72,6.689,2569,84618541,96
