id,title,year,google_rating,vote_average,vote_count,revenue,runtime
41446,Scream 4,2011,80,6.4,3299,97231420,111
2280,Big,1988,78,7.162,3299,151927281,104
290098,The Handmaiden,2016,90,8.246,3299,38600000,145
37136,The Naked Gun: From the Files of Police Squad!,1988,84,7.233,3297,78756177,86
8810,Mad Max 2,1981,75,7.387,3295,24600832,96
87093,Big Eyes,2014,81,6.989,3294,28883511,106
59961,Safe House,2012,69,6.443,3294,208076205,115
9335,Transporter 2,2005,77,6.311,3283,89083229,87
446021,Bad Times at the El Royale,2018,64,6.83,3281,31882724,141
853,Enemy at the Gates,2001,80,7.405,3277,96976270,131
65086,The Woman in Black,2012,83,6.124,3272,127730736,95
646,Dr. No,1962,88,6.995,3270,59567035,110
667538,Transformers: Rise of the Beasts,2023,75,7.492,3270,429800000,127
762504,Nope,2022,62,6.9,3268,170823080,130
12244,9,2009,61,6.907,3263,48428063,79
658,Goldfinger,1964,88,7.345,3259,124881062,110
347031,Swiss Army Man,2016,73,6.9,3259,4900000,97
8271,Disturbia,2007,78,6.685,3254,117760134,105
8645,The Happening,2008,59,5.379,3252,163403799,91
397837,Before I Fall,2017,60,6.969,3252,18900000,98
262391,Serial (Bad) Weddings,2014,84,6.672,3250,176404493,94
5176,3:10 to Yuma,2007,89,7.201,3247,70016220,122
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,65,6.006,3247,245623848,112
246741,What We Do in the Shadows,2014,92,7.6,3241,6263224,86
4538,The Darjeeling Limited,2007,79,7.163,3240,24377151,92
419478,Midnight Sun,2018,82,7.795,3237,27365467,91
346,Seven Samurai,1954,93,8.452,3230,346300,207
819,Sleepers,1996,92,7.597,3230,165615285,147
334,Magnolia,1999,70,7.727,3229,48451803,189
1213,The Talented Mr. Ripley,1999,86,7.176,3228,128798265,139
44048,Unstoppable,2010,78,6.561,3222,167805466,98
160588,Blue Jasmine,2013,76,6.998,3222,99206215,99
399170,Logan Lucky,2017,58,6.729,3221,48453605,118
985939,Fall,2022,84,7.253,3217,16120263,107
73723,The Lorax,2012,80,6.496,3213,348840316,86
232672,Blended,2014,79,6.865,3211,127994610,117
400617,Phantom Thread,2017,72,7.3,3211,47756590,130
300671,13 Hours: The Secret Soldiers of Benghazi,2016,76,7.27,3211,69411370,144
536554,M3GAN,2022,68,7.219,3210,179960167,102
204082,Homefront,2013,80,6.957,3210,43058898,100
172385,Rio 2,2014,82,6.5,3207,500188435,101
62215,Melancholia,2011,82,7.198,3207,15946321,135
16320,Serenity,2005,72,7.369,3207,38869464,119
15969,The Return of Jafar,1994,78,6.242,3203,0,69
1089,Point Break,1991,88,7.133,3202,83531958,122
36669,Die Another Day,2002,80,5.963,3197,431971116,133
521029,Annabelle Comes Home,2019,74,6.429,3196,231252591,106
35690,The Last Song,2010,76,7.238,3195,89137047,107
7445,Brothers,2009,71,7.316,3193,43474578,105
1640,Crash,2005,78,7.222,3193,98410061,112
