id,title,year,google_rating,vote_average,vote_count,revenue,runtime
9567,Tears of the Sun,2003,86,6.839,2073,86468162,121
38321,Priest,2011,63,5.765,2070,78309131,87
8536,Superman II,1980,83,6.731,2069,190458706,127
339527,Solace,2015,70,6.4,2067,22586863,101
11978,Men of Honor,2000,83,7.46,2066,82343495,129
97,Tron,1982,78,6.668,2066,33000000,96
2022,Mr. Deeds,2002,74,5.839,2064,171269535,96
37821,Killers,2010,68,5.941,2062,98159963,100
4977,Paprika,2006,80,7.805,2060,946590,90
457335,Guns Akimbo,2020,65,6.5,2060,835102,95
37472,Ip Man 2,2010,86,7.5,2058,36000000,108
318121,The Fundamentals of Caring,2016,82,7.31,2057,0,97
422,8½,1963,85,8.173,2057,0,139
245,About a Boy,2002,81,6.654,2054,129000000,101
37950,Charlie St. Cloud,2010,71,6.932,2054,48190704,99
43947,I Spit on Your Grave,2010,85,6.5,2053,572809,108
6950,Outbreak,1995,83,6.53,2052,189859560,127
2135,The Time Machine,2002,78,6.216,2051,123729176,96
6278,Reign of Fire,2002,73,6.163,2050,82150183,101
14001,Dead Silence,2007,80,6.4,2048,22217407,89
483184,Dogman,2018,77,7.567,2045,5080147,103
2133,The Perfect Storm,2000,69,6.426,2044,325756637,130
77931,The Smurfs 2,2013,73,5.768,2043,347434178,105
37707,Splice,2009,76,5.828,2043,0,104
9493,Twins,1988,77,5.986,2042,216614388,107
84199,The First Time,2012,73,7.009,2039,22836,95
8814,Doom,2005,61,5.109,2037,58072119,105
522212,Just Mercy,2019,85,7.903,2036,50401502,137
68727,Trance,2013,60,6.63,2035,24261569,101
12279,Spy Kids 3-D: Game Over,2003,79,5.1,2034,197011982,84
10313,The Men Who Stare at Goats,2009,77,5.967,2034,68729358,94
615656,Meg 2: The Trench,2023,63,6.912,2034,384056482,116
79,Hero,2002,85,7.509,2032,177394432,99
8202,Æon Flux,2005,62,5.593,2032,53321673,93
11439,The Ghost Writer,2010,76,6.826,2031,60331447,128
72571,Paranormal Activity 3,2011,76,5.901,2031,207039844,94
58431,Pride and Prejudice and Zombies,2016,84,6.146,2029,16457494,108
10139,Milk,2008,82,7.251,2029,54589558,128
502416,Ma,2019,53,5.796,2027,51749995,99
12102,Kramer vs. Kramer,1979,86,7.555,2026,106260000,105
484718,Coming 2 America,2021,78,6.475,2025,0,110
9397,Evolution,2001,77,6.051,2022,98376292,101
347375,Mile 22,2018,67,6.198,2022,66308758,95
473,Pi,1998,73,7.111,2021,3221152,84
8872,Wayne's World,1992,75,6.692,2021,183097323,95
591273,Fear Street: 1994,2021,81,6.723,2021,0,107
22972,Green Zone,2010,66,6.456,2019,94882889,115
1248,Hannibal Rising,2007,87,6.236,2018,82169884,121
10065,The Amityville Horror,2005,83,6.122,2018,108047131,90
399019,The Beguiled,2017,52,5.896,2016,27397655,93
