id,title,year,google_rating,vote_average,vote_count,revenue,runtime
233063,Suck Me Shakespeer,2013,87,7.024,1566,77676735,119
11820,Mona Lisa Smile,2003,83,6.92,1565,0,117
365222,Ip Man 3,2015,85,7.005,1564,157029618,105
149871,The Tale of The Princess Kaguya,2013,86,8.104,1563,24366656,137
925,Do the Right Thing,1989,86,7.756,1563,37300000,120
9530,RV,2006,69,5.867,1563,87528173,99
85889,Filth,2013,77,6.86,1562,9114264,97
152,Star Trek: The Motion Picture,1979,80,6.5,1561,139000000,132
445629,Fighting with My Family,2019,70,6.859,1561,39055536,108
7270,Matchstick Men,2003,62,6.985,1561,65565672,116
774825,The Ice Age Adventures of Buck Wild,2022,64,6.676,1560,0,82
10072,A Nightmare on Elm Street 3: Dream Warriors,1987,92,6.672,1560,44800000,96
35554,Cado dalle nubi,2009,82,6.712,1560,0,95
323675,Ride Along 2,2016,75,6.241,1560,124827316,102
8489,Ali,2001,61,6.763,1558,87713825,157
18480,Brüno,2009,66,5.619,1558,138805831,83
579047,Reminiscence,2021,54,6.664,1558,18717947,116
68817,Footloose,2011,64,6.597,1557,63543328,113
7288,Duplex,2003,81,6.086,1556,19322135,89
1588,Bring It On,2000,84,6.225,1556,90449929,98
553604,Honest Thief,2020,69,6.526,1556,31220247,99
136418,Hummingbird,2013,70,6.167,1555,8352885,100
447362,Life in a Year,2020,79,8.29,1555,0,107
10220,Rounders,1998,80,7.003,1554,22921898,121
9769,Lolita,1997,83,7.125,1554,1071255,137
4614,The Sum of All Fears,2002,75,6.328,1554,193921372,124
296100,The Night Before,2015,68,6.089,1554,52395996,101
170687,The Boxtrolls,2014,67,6.669,1553,108255770,97
16538,"I Love You, Man",2009,70,6.545,1552,91980359,105
4566,Michael Clayton,2007,78,6.767,1552,92991835,120
10808,Dr. Dolittle 2,2001,73,5.288,1551,176104344,87
617,Wild Things,1998,85,6.3,1551,67200000,108
324670,Spectral,2016,56,6.421,1549,0,109
9316,Ong-Bak,2003,89,7.089,1548,20112926,105
9072,Little Man,2006,84,5.881,1547,101595121,98
12106,The Quick and the Dead,1995,79,6.518,1546,47000000,107
873,The Color Purple,1985,78,7.747,1546,146292000,154
454293,Night School,2018,72,6.167,1546,33157615,111
14359,Doubt,2008,80,7.182,1545,50907234,104
9357,One Hour Photo,2002,75,6.64,1545,52223306,96
9531,Superman III,1983,71,5.491,1545,75850624,125
11327,Midnight Express,1978,72,7.522,1544,35000000,121
314405,Tale of Tales,2015,60,6.374,1544,5500277,134
11172,Music and Lyrics,2007,72,6.408,1544,145896422,105
655,"Paris, Texas",1984,88,8.093,1544,2181987,145
2018,The Wedding Planner,2001,84,5.911,1543,94728529,103
486947,The Guilty,2018,75,7.309,1543,0,86
1729,The Forbidden Kingdom,2008,84,6.615,1542,127906624,104
181283,Child 44,2015,67,6.265,1541,3324330,137
151960,Planes,2013,65,5.879,1541,219788712,91
