id,title,year,google_rating,vote_average,vote_count,revenue,runtime
117,The Untouchables,1987,84,7.77,5181,76270454,119
307081,Southpaw,2015,78,7.362,5178,91709827,123
1584,School of Rock,2003,87,7.071,5173,131095990,110
1624,Liar Liar,1997,85,6.667,5163,302710615,86
2675,Signs,2002,80,6.681,5144,408247917,106
105864,The Good Dinosaur,2015,78,6.745,5143,332207671,93
512195,Red Notice,2021,76,6.803,5135,178143,118
44833,Battleship,2012,72,5.808,5134,303025485,131
97020,RoboCop,2014,71,5.847,5133,242688965,118
345920,Collateral Beauty,2016,75,7.239,5122,88528280,97
9654,The Italian Job,2003,74,6.763,5113,176070171,110
630,The Wizard of Oz,1939,85,7.571,5112,33754967,102
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,92,8.129,5111,9523464,95
27576,Salt,2010,72,6.398,5109,293329073,100
64635,Total Recall,2012,72,6.0,5107,198802074,118
10386,The Iron Giant,1999,86,7.925,5105,23159305,86
251,Ghost,1990,76,7.206,5103,505000000,127
157353,Transcendence,2014,61,6.029,5102,103039258,119
37710,The Tourist,2010,71,6.178,5097,278731369,103
4523,Enchanted,2007,82,6.805,5088,340487652,107
254470,Pitch Perfect 2,2015,75,6.864,5084,287506194,115
4553,The Machinist,2004,84,7.52,5081,8203235,101
9532,Final Destination,2000,89,6.6,5080,112880294,98
522627,The Gentlemen,2020,84,7.678,5079,115171795,113
1538,Collateral,2004,76,7.213,5079,217764291,120
346698,Barbie,2023,75,7.279,5074,1428545028,114
8077,Alien³,1992,83,6.4,5066,159773545,114
335787,Uncharted,2022,67,7.002,5066,407141258,116
10198,The Princess and the Frog,2009,86,7.2,5062,270997378,98
613504,After We Collided,2020,82,7.202,5051,42000000,105
1579,Apocalypto,2006,93,7.567,5049,120673227,139
41733,Due Date,2010,73,6.35,5042,211780824,95
15,Citizen Kane,1941,81,8.015,5034,23218000,119
17578,The Adventures of Tintin,2011,75,6.885,5024,373993951,107
624860,The Matrix Resurrections,2021,59,6.479,5018,156497322,147
82507,Sinister,2012,84,6.868,5008,82515113,110
75,Mars Attacks!,1996,77,6.396,5008,101371017,106
480530,Creed II,2018,90,7.015,5007,214215889,130
568,Apollo 13,1995,81,7.443,4997,355237933,140
10009,Brother Bear,2003,86,7.257,4993,250397798,85
10693,Peter Pan,1953,82,7.222,4990,87404651,77
948,Halloween,1978,89,7.562,4987,70274000,91
225574,Non-Stop,2014,81,6.811,4987,222809600,106
400928,Gifted,2017,72,8.044,4983,40343446,101
107985,The World's End,2013,82,6.795,4981,46089287,109
1635,The Island,2005,75,6.7,4981,162949164,136
82695,Les Misérables,2012,79,7.338,4978,441809770,158
9444,Anastasia,1997,84,7.611,4958,139804348,94
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,80,6.754,4945,262552893,84
447365,Guardians of the Galaxy Vol. 3,2023,89,8.023,4941,845430302,150
