id,title,year,google_rating,vote_average,vote_count,revenue,runtime
9522,Wedding Crashers,2005,80,6.473,4060,288485135,119
224141,Into the Woods,2014,64,5.75,4060,212902372,125
813,Airplane!,1980,81,7.282,4057,83453539,88
400155,Hotel Transylvania 3: Summer Vacation,2018,82,6.897,4056,528600000,97
138697,Don Jon,2013,80,6.0,4052,0,90
136797,Need for Speed,2014,82,6.389,4047,203277636,132
9366,Donnie Brasco,1997,87,7.533,4044,124909762,127
10830,Matilda,1996,86,7.152,4043,33459416,98
1907,The Beach,2000,72,6.456,4038,144056873,119
686,Contact,1997,77,7.417,4038,171120329,150
9679,Gone in Sixty Seconds,2000,80,6.41,4034,237202299,118
11886,Robin Hood,1973,93,7.284,4029,32056467,83
249164,If I Stay,2014,63,7.376,4027,78274843,106
45317,The Fighter,2010,77,7.38,4025,93617009,116
615,The Passion of the Christ,2004,92,7.47,4017,611899420,127
1374,Rocky IV,1985,91,7.076,4014,300473716,91
524047,Greenland,2020,72,7.14,4013,52300000,120
9603,Clueless,1995,86,7.273,4011,56631572,97
214,Saw III,2006,86,6.382,4010,164874275,109
640146,Ant-Man and the Wasp: Quantumania,2023,74,6.431,4009,476071180,125
3021,1408,2007,87,6.674,4007,132963417,104
4133,Blow,2001,86,7.366,4006,83282296,124
395,AVP: Alien vs. Predator,2004,81,5.9,3999,177427090,101
387426,Okja,2017,86,7.389,3999,0,122
583,Life of Brian,1979,89,7.751,3990,20745728,94
8329,[REC],2007,86,7.18,3987,32511655,78
1367,Rocky II,1979,90,7.259,3973,85182160,118
501170,Doctor Sleep,2019,81,7.158,3966,72381712,152
1996,Lara Croft: Tomb Raider - The Cradle of Life,2003,74,5.744,3963,160099222,117
33,Unforgiven,1992,81,7.914,3960,159157447,130
492,Being John Malkovich,1999,81,7.415,3957,22863596,113
11216,Cinema Paradiso,1988,92,8.453,3954,11990401,124
1577,Resident Evil: Apocalypse,2004,89,6.341,3954,129394835,94
9426,The Fly,1986,82,7.4,3952,60629159,96
2698,Evan Almighty,2007,72,5.551,3948,174440724,96
9602,Coming to America,1988,87,6.867,3948,288752301,117
72545,Journey 2: The Mysterious Island,2012,70,6.145,3942,355692760,94
2978,Ghostbusters II,1989,89,6.533,3936,215394738,108
476669,The King's Man,2021,77,6.794,3932,125928656,131
22971,Dear John,2010,83,6.834,3927,114977104,108
116741,The Internship,2013,70,6.253,3926,44000000,119
335,Once Upon a Time in the West,1968,82,8.294,3923,5380118,166
109418,Grown Ups 2,2013,84,6.111,3920,247022278,101
438695,Sing 2,2021,75,7.918,3919,406000000,110
91586,Insidious: Chapter 2,2013,85,6.674,3917,161000000,106
193756,Lone Survivor,2013,83,7.426,3911,149295601,121
51828,One Day,2011,80,7.417,3910,59389433,107
567609,Ready or Not,2019,83,7.057,3909,57615777,95
9800,Philadelphia,1993,83,7.725,3909,206678440,126
57165,Wrath of the Titans,2012,67,5.725,3908,301970083,99
