id,title,year,google_rating,vote_average,vote_count,revenue,runtime
756,Fantasia,1940,81,7.359,2795,76411819,124
61979,Three Steps Above Heaven,2010,88,7.753,2794,0,122
8055,The Reader,2008,89,7.437,2791,108902486,124
9476,A Knight's Tale,2001,82,6.9,2790,117487473,132
1904,Memoirs of a Geisha,2005,92,7.673,2790,162242962,146
412117,The Secret Life of Pets 2,2019,75,6.969,2790,155152550,86
9354,"Honey, I Shrunk the Kids",1989,82,6.276,2789,222724172,93
614934,Elvis,2022,77,7.593,2789,288670284,159
580175,Another Round,2020,89,7.658,2786,21700000,117
582014,Promising Young Woman,2020,69,7.5,2784,13868965,114
11430,The Lion King 1½,2004,82,6.579,2782,1465,77
600354,The Father,2020,84,8.152,2781,21029340,96
77930,Magic Mike,2012,68,6.158,2778,167221571,110
9361,The Last of the Mohicans,1992,88,7.392,2771,75505856,112
556984,The Trial of the Chicago 7,2020,87,7.727,2769,107423,130
765,Evil Dead II,1987,91,7.6,2769,10900000,84
375588,Robin Hood,2018,73,5.893,2768,86493046,116
644495,House of Gucci,2021,66,6.626,2767,153235995,158
9655,She's the Man,2006,86,6.794,2767,33889159,105
10066,House of Wax,2005,85,5.931,2766,68766121,113
12113,Body of Lies,2008,67,6.624,2765,113280098,128
415842,American Assassin,2017,60,6.395,2765,67200000,112
9714,Home Alone 3,1997,76,5.264,2764,79082515,102
303858,Money Monster,2016,61,6.447,2763,93282604,98
458897,Charlie's Angels,2019,58,6.485,2762,73279888,118
540901,Hustlers,2019,65,6.486,2754,157600000,110
818647,Through My Window,2022,80,7.395,2753,0,112
525661,Bombshell,2019,71,6.814,2750,61404394,109
95610,Bridget Jones's Baby,2016,79,6.417,2744,211952420,123
8656,Deep Impact,1998,71,6.209,2741,349464664,120
59965,Abduction,2011,65,5.864,2740,82087155,106
646385,Scream,2022,69,6.712,2739,140041405,114
112205,The Family,2013,78,6.361,2735,36894225,111
7840,"10,000 BC",2008,64,5.432,2730,269784201,109
15472,The Girl with the Dragon Tattoo,2009,88,7.523,2728,109421911,152
158011,The Call,2013,86,6.799,2725,68572378,94
72113,Carnage,2011,78,7.176,2724,30722632,80
132363,The Butler,2013,87,7.344,2723,115922175,132
59108,Tower Heist,2011,66,6.07,2720,152930623,104
37056,Letters to Juliet,2010,87,6.973,2720,82148538,105
68722,The Master,2012,82,7.151,2719,28258060,137
10439,Hocus Pocus,1993,86,7.055,2719,45395069,96
622,The Ninth Gate,1999,86,6.455,2714,58401898,133
9792,The Hills Have Eyes,2006,74,6.411,2714,69623713,107
8922,Jeepers Creepers,2001,88,6.449,2713,59217789,90
400160,The SpongeBob Movie: Sponge on the Run,2020,74,7.509,2712,4700000,95
58224,Mr. Popper's Penguins,2011,74,5.932,2712,187361754,94
1738,Next,2007,60,6.052,2711,76066841,96
157547,Oculus,2013,81,6.44,2711,44459951,104
192,The Name of the Rose,1986,86,7.47,2709,77200000,130
