id,title,year,google_rating,vote_average,vote_count,revenue,runtime
11009,Saturday Night Fever,1977,69,6.714,1742,237113184,119
41210,The Switch,2010,79,6.241,1741,49830607,101
9778,Serendipity,2001,82,6.9,1741,77516304,90
10110,Empire of the Sun,1987,78,7.513,1740,66700000,153
286554,Two Night Stand,2014,76,6.423,1740,868081,86
82990,Paranormal Activity 4,2012,66,5.418,1739,142802657,97
1010581,My Fault,2023,88,8.106,1738,0,117
37797,Whisper of the Heart,1995,90,7.942,1738,0,111
19585,G-Force,2009,65,5.4,1738,292817841,88
154,Star Trek II: The Wrath of Khan,1982,87,7.5,1737,96800000,113
326359,Frozen Fever,2015,79,6.831,1737,0,8
280996,Mr. Holmes,2015,68,6.467,1737,29355203,104
273477,Scouts Guide to the Zombie Apocalypse,2015,81,6.507,1737,14860766,93
109689,I Want You,2012,82,7.393,1736,24016152,130
37430,Conan the Barbarian,2011,65,5.306,1736,63523283,113
369192,Battle of the Sexes,2017,70,6.777,1736,12638526,121
5994,The Family Man,2000,88,6.768,1736,124700000,125
11357,Halloween 4: The Return of Michael Myers,1988,87,6.202,1732,17800000,88
87428,That's My Boy,2012,72,5.785,1731,58058367,116
1807,Elephant,2003,71,7.076,1730,10012022,81
73861,A Serbian Film,2010,-1,5.5,1730,1541,104
1923,Twin Peaks: Fire Walk with Me,1992,88,7.343,1728,4184990,135
709,Licence to Kill,1989,86,6.364,1728,156167015,133
727745,The Kissing Booth 3,2021,70,6.97,1727,0,112
17610,Year One,2009,62,4.954,1726,62357900,97
239563,St. Vincent,2014,68,7.089,1725,54837234,102
15373,Role Models,2008,78,6.492,1723,92380927,99
500840,I'm Thinking of Ending Things,2020,51,6.581,1723,0,135
724495,The Woman King,2022,74,7.749,1723,97250903,135
48415,Welcome to the South,2010,88,6.72,1722,65584679,102
250219,I Can Quit Whenever I Want,2014,79,7.432,1722,54606,100
370755,Paterson,2016,77,7.102,1722,2152738,118
11238,Aladdin and the King of Thieves,1996,84,6.254,1722,0,81
1946,eXistenZ,1999,78,6.813,1721,2856712,97
5924,Papillon,1973,89,7.842,1720,53267000,151
9040,Serpico,1973,87,7.544,1720,29800000,130
251516,Kung Fury,2015,84,7.47,1719,0,32
4141,Shoot 'Em Up,2007,76,6.444,1719,26820641,86
9671,Crocodile Dundee,1986,88,6.385,1719,328203506,104
301804,Before I Wake,2016,80,6.487,1719,3295624,97
109091,The Counselor,2013,51,5.266,1717,71009334,117
337674,Elle,2016,59,6.659,1717,2341534,130
1725,West Side Story,1961,81,7.3,1716,43656822,151
763285,Ambulance,2022,56,6.7,1714,51783040,136
317442,The Last: Naruto the Movie,2014,92,7.758,1714,19840000,114
913290,Barbarian,2022,82,6.916,1711,45352337,103
579,Jaws 2,1978,75,5.964,1710,187884007,116
9618,Tango & Cash,1989,85,6.422,1710,63408614,104
10040,Miss Congeniality 2: Armed and Fabulous,2005,81,5.736,1709,101393569,115
99,All About My Mother,1999,85,7.7,1708,67872296,101
